S000004929,S000006022,Cellular Component: 0.795391110485
S000006314,S000002452,Cellular Component: 0.708405382507
S000002398,S000005169,Cellular Component: 0.498178535116
S000001672,S000001144,Cellular Component: 0.542385009244
S000002574,S000002615,Cellular Component: 0.344915594103
S000005422,S000000702,Cellular Component: 0.0110079433499
S000000963,S000003169,Cellular Component: 0.120514463903
S000003693,S000000038,Cellular Component: 0.120514463903
S000001149,S000000334,Cellular Component: 0.433270957362
S000000284,S000004460,Cellular Component: 0.140000142268
S000000981,S000005717,Cellular Component: 0.198129646975
S000004117,S000001209,Cellular Component: 0.742127948698
S000005850,S000002133,Cellular Component: 0.053898417263
S000003579,S000000568,Cellular Component: 0.053898417263
S000001445,S000000935,Cellular Component: 0.458155343793
S000005880,S000003352,Cellular Component: 0.0494074443379
S000004376,S000003432,Cellular Component: 0.795391110485
S000004252,S000002544,Cellular Component: 0.406819773489
S000004434,S000005160,Cellular Component: 0.926660704959
S000003693,S000004812,Cellular Component: 0.120514463903
S000000180,S000001932,Cellular Component: 0.742127948698
S000004414,S000005468,Cellular Component: 0.0216388305672
S000005448,S000001133,Cellular Component: 0.053898417263
S000002743,S000004327,Cellular Component: 0.615527422615
S000003811,S000004826,Cellular Component: 0.73705768716
S000002309,S000002304,Cellular Component: 0.177751831825
S000001147,S000000409,Cellular Component: 0.140000142268
S000001932,S000005775,Cellular Component: 0.742127948698
S000001374,S000003162,Cellular Component: 0.889363374653
S000004931,S000003367,Cellular Component: 1.0
S000006434,S000006382,Cellular Component: 0.805905952253
S000001628,S000002165,Cellular Component: 1.0
S000000065,S000005867,Cellular Component: 0.198129646975
S000006161,S000006161,Cellular Component: 0.579098210399
S000001917,S000001145,Cellular Component: 0.053898417263
S000001141,S000000285,Cellular Component: 0.820787237033
S000004061,S000005411,Cellular Component: 0.681920006388
S000002743,S000001790,Cellular Component: 0.615527422615
S000004650,S000000967,Cellular Component: 0.133167230214
S000001394,S000004368,Cellular Component: 0.120514463903
S000002242,S000002789,Cellular Component: 0.777787966782
S000002434,S000003566,Cellular Component: 0.914042649566
S000003180,S000001679,Cellular Component: 0.520043483226
S000005429,S000002718,Cellular Component: 0.120514463903
S000000483,S000002299,Cellular Component: 0.578216685532
S000001012,S000005364,Cellular Component: 0.344915594103
S000002885,S000002830,Cellular Component: 0.816211210454
S000004811,S000006345,Cellular Component: 0.781643901377
S000000199,S000005468,Cellular Component: 0.120514463903
S000000468,S000005207,Cellular Component: 0.140000142268
S000001618,S000005468,Cellular Component: 0.053898417263
S000005180,S000005882,Cellular Component: 0.120514463903
S000002588,S000001288,Cellular Component: 0.177751831825
S000003158,S000002347,Cellular Component: 0.120514463903
S000005381,S000002688,Cellular Component: 0.781419129943
S000000815,S000002495,Cellular Component: 0.496777359309
S000002614,S000005573,Cellular Component: 0.120514463903
S000005624,S000000967,Cellular Component: 0.133167230214
S000003352,S000003191,Cellular Component: 0.828085299132
S000002736,S000005859,Cellular Component: 0.177751831825
S000001688,S000003577,Cellular Component: 0.445925336942
S000004327,S000000813,Cellular Component: 0.179296182274
S000005846,S000003064,Cellular Component: 0.120514463903
S000003471,S000004181,Cellular Component: 0.525078860236
S000003256,S000000813,Cellular Component: 0.0110079433499
S000004327,S000001551,Cellular Component: 0.615527422615
S000000406,S000004264,Cellular Component: 0.863760822901
S000002736,S000004214,Cellular Component: 0.532448797645
S000002459,S000002175,Cellular Component: 0.920846476706
S000002619,S000006158,Cellular Component: 0.177751831825
S000002159,S000004684,Cellular Component: 0.0494074443379
S000002171,S000002918,Cellular Component: 0.198129646975
S000001387,S000001387,Cellular Component: 1.0
S000005659,S000004327,Cellular Component: 0.186332604419
S000005853,S000003074,Cellular Component: 0.777787966782
S000006394,S000001185,Cellular Component: 0.708405382507
S000004137,S000000914,Cellular Component: 0.900555793903
S000004652,S000003079,Cellular Component: 0.619530009367
S000002971,S000006323,Cellular Component: 0.120514463903
S000002646,S000002304,Cellular Component: 0.93424277975
S000001733,S000002304,Cellular Component: 0.177751831825
S000005475,S000001886,Cellular Component: 0.198129646975
S000005079,S000004968,Cellular Component: 0.120514463903
S000004137,S000006386,Cellular Component: 0.900555793903
S000001175,S000004540,Cellular Component: 0.361812093451
S000000560,S000000261,Cellular Component: 0.0494074443379
S000003060,S000003351,Cellular Component: 0.615527422615
